filename,errors,failures,skipped,tests,time,test_timestamp,last_commit
"acf_entrenamiento","0","2","38","63","34.712","2026-01-20T12:03:17.688523",""
"daj_vehicles","0","1","20","63","45.287","2026-01-20T12:04:59.821850",""
"dfd_taller","0","17","36","63","50.852","2026-01-20T12:05:46.151011",""
"drm_gastos","0","1","30","63","26.888","2026-01-20T12:06:38.003000",""
"imai_tienda_ropa","0","12","38","63","24.858","2026-01-20T12:07:05.800979",""
"iph_ordenadores","25","0","38","63","70.059","2026-01-20T12:07:31.438595",""
"izl_peluqueria","0","1","15","63","36.601","2026-01-20T12:08:42.447738",""
"jlra_streaming","0","4","37","63","25.870","2026-01-20T12:09:19.902019",""
"llm_concesionario","0","6","36","63","27.378","2026-01-20T12:09:46.533673",""
"lmc_artstore","25","0","38","63","64.208","2026-01-20T12:10:14.561179",""
"mbg_gestor_tareas","0","1","30","63","24.886","2026-01-20T12:11:19.796387",""
"msr_padel","25","0","38","63","71.192","2026-01-20T12:12:25.927444",""
"rat_juegos_mesa","0","2","38","63","28.614","2026-01-20T12:13:38.226897",""
