filename,errors,failures,skipped,tests,time,test_timestamp,last_commit
"apb_taller","0","16","36","63","24.788","2026-01-17T17:23:18.834785",""
"bsr_alquiler_coches","0","18","37","63","26.298","2026-01-17T17:23:44.310737",""
"ds_concesionario","0","13","37","63","24.437","2026-01-17T17:24:11.336540",""
"gestion_restaurante","25","0","38","63","68.037","2026-01-17T17:24:36.672265",""
"igl_aistudio","0","12","31","63","41.847","2026-01-17T17:25:45.445194",""
"pav_incident_manager","0","17","37","63","24.394","2026-01-17T17:26:28.562994",""
"pcr_incident_manager","0","8","16","63","38.280","2026-01-17T17:26:53.861130",""
"png_biblioteca","0","8","15","63","39.763","2026-01-17T17:27:32.964136",""
"rcg_cinema","0","5","19","63","38.411","2026-01-17T17:28:13.583137",""
"rmc_inventario_muebles","25","0","38","63","75.334","2026-01-17T17:28:52.652642",""
"sas_tienda_videojuegos","0","15","37","63","24.358","2026-01-17T17:30:08.752564",""
"smv_instituto","0","18","37","63","24.124","2026-01-17T17:30:33.835677",""
"vrg_bar","0","6","36","63","95.531","2026-01-17T17:30:58.710373",""
