filename,errors,failures,skipped,tests,time,test_timestamp,last_commit
"aam_hospitalizacion","0","17","38","63","23.608","2026-01-19T18:54:20.329189",""
"abg_bar","25","0","38","63","72.257","2026-01-19T18:54:44.902302",""
"abg_circuits","0","8","36","63","27.488","2026-01-19T18:55:57.979395",""
"abj_floristeria","0","18","38","63","24.072","2026-01-19T18:56:26.142106",""
"bbs_mango","25","0","38","63","64.105","2026-01-19T18:56:51.264113",""
"gsm_prep_planner","0","21","38","63","40.131","2026-01-19T18:57:56.115967",""
"lfns_tienda_videojuegos","25","0","38","63","71.129","2026-01-19T18:58:37.021690",""
"magp_coleccionable","0","15","38","63","31.375","2026-01-19T18:59:48.845459",""
"ran_futbol","0","11","34","63","25.585","2026-01-19T19:00:20.964221",""
"sag_zoologico","0","12","38","63","28.451","2026-01-19T19:00:47.545231",""
"svl_agenciaviajes","0","4","35","63","25.088","2026-01-19T19:01:16.829571",""
